Species,Turbines density,WPD-NoTurbine density,Patagonia,Center SAm,Caribbean
Accipiter gundlachi,5,1,0,0,1
Acrobatornis fonsecai,0,1,0,0,0
Agamia agami,2,1,0,1,1
Agelaius tricolor,17,1,0,0,0
Agelaius xanthomus,15,1,0,0,1
Aglaeactis aliciae,0,0,0,0,0
Aglaiocercus berlepschi,0,1,0,0,1
Agriornis albicauda,4,1,0,1,0
Alectrurus risora,38,1,0,1,0
Alectrurus tricolor,1,1,0,1,0
Amazilia alfaroana,0,1,0,0,1
Amazilia boucardi,55,1,0,0,1
Amazilia lilliae,18,1,0,0,1
Amazilia luciae,8,0,0,0,0
Amazona agilis,0,1,0,0,1
Amazona arausiaca,0,1,0,0,1
Amazona auropalliata,24,1,0,0,1
Amazona collaria,0,1,0,0,1
Amazona finschi,8,1,0,0,0
Amazona guildingii,0,1,0,0,1
Amazona imperialis,0,1,0,0,1
Amazona lilacina,0,1,0,0,0
Amazona oratrix,35,1,0,0,1
Amazona pretrei,38,1,0,1,0
Amazona rhodocorytha,0,1,0,0,0
Amazona tucumana,3,1,0,1,0
Amazona ventralis,16,1,0,0,1
Amazona versicolor,0,1,0,0,1
Amazona vinacea,6,1,0,1,0
Amazona viridigenalis,32,1,0,0,1
Amazona vittata,15,1,0,0,1
Ammospiza caudacuta,0,1,0,0,1
Ampelornis griseiceps,6,1,0,0,0
Anairetes alpinus,0,0,0,0,0
Anodorhynchus glaucus,24,1,0,1,0
Anodorhynchus hyacinthinus,0,1,0,1,0
Anodorhynchus leari,286,1,0,0,0
Anthocephala berlepschi,0,0,0,0,0
Anthocephala floriceps,18,1,0,0,1
Anthus nattereri,25,1,0,1,0
Anthus spragueii,15,1,0,0,1
Antilophia bokermanni,13,0,0,0,0
Antrostomus noctitherus,31,1,0,0,1
Anumara forbesi,316,1,0,0,0
Aphanotriccus capitalis,0,1,0,0,1
Aphelocoma coerulescens,0,1,0,0,1
Aphrastura masafuerae,0,1,0,0,0
Ara ambiguus,7,1,0,0,1
Ara glaucogularis,0,0,0,0,0
Aramides wolfi,0,1,0,0,0
Ara militaris,36,1,0,1,1
Ara rubrogenys,10,0,0,0,0
Aratinga solstitialis,0,0,0,0,0
Ardea occidentalis,4,1,0,0,1
Ardenna bulleri,3,1,0,1,1
Ardenna creatopus,12,1,0,1,1
Arremon perijanus,18,0,0,0,0
Arremon phygas,0,1,0,0,1
Asthenes perijana,37,0,0,0,0
Atlapetes blancae,0,0,0,0,0
Atlapetes pallidiceps,0,0,0,0,0
Attila torridus,3,1,0,0,0
Aulacorhynchus huallagae,0,0,0,0,0
Automolus lammi,511,1,0,0,0
Bangsia aureocincta,0,0,0,0,0
Bangsia flavovirens,0,0,0,0,0
Bangsia melanochlamys,0,0,0,0,0
Basileuterus griseiceps,0,1,0,0,1
Basileuterus ignotus,0,0,0,0,0
Biatas nigropectus,7,1,0,1,0
Bolborhynchus ferrugineifrons,0,0,0,0,0
Brotogeris pyrrhoptera,3,1,0,0,0
Buteo galapagoensis,2,1,0,0,0
Buteogallus coronatus,13,1,0,1,0
Buteogallus lacernulatus,20,1,0,0,0
Buteo ridgwayi,16,1,0,0,1
Buteo ventralis,19,1,1,1,0
Calcarius ornatus,38,1,0,0,0
Calyptophilus tertius,20,1,0,0,1
Calyptura cristata,8,0,0,0,0
Campephilus imperialis,50,1,0,0,0
Campephilus principalis,0,1,0,0,1
Campylopterus calcirupicola,166,0,0,0,0
Campylopterus phainopeplus,18,1,0,0,1
Capito dayi,0,0,0,0,0
Capito hypoleucus,0,0,0,0,0
Capito wallacei,0,0,0,0,0
Carpornis melanocephala,1,1,0,0,0
Catharopeza bishopi,0,1,0,0,1
Catharus bicknelli,14,1,0,0,1
Celeus galeatus,6,1,0,1,0
Celeus obrieni,14,0,0,0,0
Celeus tinnunculus,0,1,0,0,0
Cephalopterus glabricollis,0,1,0,0,1
Cephalopterus penduliger,0,1,0,0,0
Cercomacra carbonaria,0,0,0,0,0
Certhidea olivacea,3,1,0,0,0
Chaetocercus berlepschi,0,1,0,0,0
Chaetura andrei,2,1,0,0,1
Chaetura pelagica,5,1,0,0,1
Chloropipo flavicapilla,0,0,0,0,0
Chondrohierax wilsonii,5,1,0,0,1
